id,name,location,temperature,vibration,oil_level,last_updated,status
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,67.5,61.4,75,2025-01-29T16:38:40.056241,warning
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,70.1,48.3,65,2025-01-29T06:02:40.056241,warning
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,62.0,30.6,50,2025-01-29T02:29:40.056241,warning
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,80.1,90.6,82,2025-01-29T14:50:40.056241,critical
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,85.4,32.1,76,2025-01-29T14:29:40.056241,critical
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,81.8,55.0,54,2025-01-28T23:48:40.056241,warning
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,59.4,79.2,63,2025-01-29T05:45:40.056241,warning
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,79.6,34.2,59,2025-01-28T22:00:40.056241,warning
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,69.7,82.8,57,2025-01-29T18:08:40.056241,critical
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,55.9,1.0,82,2025-01-29T01:11:40.056241,normal
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,56.7,80.7,60,2025-01-29T12:55:40.056241,critical
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,50.7,99.2,84,2025-01-29T11:31:40.056241,critical
185ae168-bf79-4064-a657-6548e46f14a3,CNC Machine #8432,Factory Floor A,82.7,5.5,53,2025-01-29T14:44:40.056241,warning
